MSA,Region
"Great Falls, MT MSA",Rocky Mountain
"Greeley, CO MSA",Rocky Mountain
"Green Bay, WI MSA",Great Lakes
"Greensboro-High Point, NC MSA",Southeast
"Greenville, NC MSA",Southeast
"Greenville-Mauldin-Easley, SC MSA",Southeast
"Gulfport-Biloxi, MS MSA",Southeast
"Hagerstown-Martinsburg, MD-WV MSA",Mideast
"Hagerstown-Martinsburg, MD-WV MSA",Southeast
"Hanford-Corcoran, CA MSA",Far West
"Harrisburg-Carlisle, PA MSA",Mideast
"Harrisonburg, VA MSA",Southeast
"Hartford-West Hartford-East Hartford, CT MSA",New England
"Hattiesburg, MS MSA",Southeast
HI NONMETROPOLITAN AREA,Far West
"Hickory-Lenoir-Morganton, NC MSA",Southeast
"Hinesville-Fort Stewart, GA MSA",Southeast
"Holland-Grand Haven, MI MSA",Great Lakes
"Honolulu, HI MSA",Far West
"Hot Springs, AR MSA",Southeast
"Houma-Bayou Cane-Thibodaux, LA MSA",Southeast
"Houston-Sugar Land-Baytown, TX MSA",Southwest
"Huntington-Ashland, WV-KY-OH MSA",Southeast
"Huntington-Ashland, WV-KY-OH MSA",Great Lakes
"Huntsville, AL MSA",Southeast
IA NONMETROPOLITAN AREA,Plains
ID NONMETROPOLITAN AREA,Rocky Mountain
"Idaho Falls, ID MSA",Rocky Mountain
IL NONMETROPOLITAN AREA,Great Lakes
IN NONMETROPOLITAN AREA,Great Lakes
"Indianapolis-Carmel, IN MSA",Great Lakes
"Iowa City, IA MSA",Plains
"Ithaca, NY MSA",Mideast
"Jackson, MI MSA",Great Lakes
"Jackson, MS MSA",Southeast
"Jackson, TN MSA",Southeast
"Jacksonville, FL MSA",Southeast
"Jacksonville, NC MSA",Southeast
"Janesville, WI MSA",Great Lakes
"Jefferson City, MO MSA",Plains
"Johnson City, TN MSA",Southeast
"Johnstown, PA MSA",Mideast
"Jonesboro, AR MSA",Southeast
"Joplin, MO MSA",Plains
"Kalamazoo-Portage, MI MSA",Great Lakes
"Kankakee-Bradley, IL MSA",Great Lakes
"Kansas City, MO-KS MSA",Plains
"Kennewick-Richland-Pasco, WA MSA",Far West
"Killeen-Temple-Fort Hood, TX MSA",Southwest
"Kingsport-Bristol-Bristol, TN-VA MSA",Southeast
"Kingston, NY MSA",Mideast
"Knoxville, TN MSA",Southeast
"Kokomo, IN MSA",Great Lakes
KS NONMETROPOLITAN AREA,Plains
KY NONMETROPOLITAN AREA,Southeast
"La Crosse, WI-MN MSA",Great Lakes
"La Crosse, WI-MN MSA",Plains
LA NONMETROPOLITAN AREA,Southeast
"Lafayette, IN MSA",Great Lakes
"Lafayette, LA MSA",Southeast
"Lake Charles, LA MSA",Southeast
"Lake Havasu City-Kingman, AZ MSA",Southwest
"Lakeland, FL MSA",Southeast
"Lancaster, PA MSA",Mideast
"Lansing-East Lansing, MI MSA",Great Lakes
"Laredo, TX MSA",Southwest
"Las Cruces, NM MSA",Southwest
"Las Vegas-Paradise, NV MSA",Far West
"Lawrence, KS MSA",Plains
"Lawton, OK MSA",Southwest
"Lebanon, PA MSA",Mideast
"Lewiston, ID-WA MSA",Rocky Mountain
"Lewiston, ID-WA MSA",Far West
"Lewiston-Auburn, ME MSA",New England
"Lexington-Fayette, KY MSA",Southeast
"Lima, OH MSA",Great Lakes
"Lincoln, NE MSA",Plains
"Little Rock-North Little Rock-Conway, AR MSA",Southeast
"Logan, UT-ID MSA",Rocky Mountain
"Longview, TX MSA",Southwest
"Longview, WA MSA",Far West
"Los Angeles-Long Beach-Santa Ana, CA MSA",Far West
"Louisville/Jefferson County, KY-IN MSA",Southeast
"Louisville/Jefferson County, KY-IN MSA",Great Lakes
"Lubbock, TX MSA",Southwest
"Lynchburg, VA MSA",Southeast
MA NONMETROPOLITAN AREA,New England
"Macon, GA MSA",Southeast
"Madera, CA MSA",Far West
"Madison, WI MSA",Great Lakes
"Manchester-Nashua, NH MSA",New England
"Manhattan, KS MSA",Plains
"Mankato-North Mankato, MN MSA",Plains
"Mansfield, OH MSA",Great Lakes
"McAllen-Edinburg-Mission, TX MSA",Southwest
MD NONMETROPOLITAN AREA,Mideast
ME NONMETROPOLITAN AREA,New England
"Medford, OR MSA",Far West
"Memphis, TN-AR-MS MSA",Southeast
"Merced, CA MSA",Far West
MI NONMETROPOLITAN AREA,Great Lakes
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",Southeast
"Michigan City-La Porte, IN MSA",Great Lakes
"Midland, TX MSA",Southwest
"Milwaukee-Waukesha-West Allis, WI MSA",Great Lakes
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",Great Lakes
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",Plains
"Missoula, MT MSA",Rocky Mountain
MN NONMETROPOLITAN AREA,Plains
MO NONMETROPOLITAN AREA,Plains
"Mobile, AL MSA",Southeast
"Modesto, CA MSA",Far West
"Monroe, LA MSA",Southeast
"Monroe, MI MSA",Great Lakes
"Montgomery, AL MSA",Southeast
"Morgantown, WV MSA",Southeast
"Morristown, TN MSA",Southeast
"Mount Vernon-Anacortes, WA MSA",Far West
MS NONMETROPOLITAN AREA,Southeast
MT NONMETROPOLITAN AREA,Rocky Mountain
"Muncie, IN MSA",Great Lakes
"Muskegon-Norton Shores, MI MSA",Great Lakes
"Myrtle Beach-Conway-North Myrtle Beach, SC MSA",Southeast
"Napa, CA MSA",Far West
"Naples-Marco Island, FL MSA",Southeast
"Nashville-Davidson-Murfreesboro-Franklin, TN MSA",Southeast
NC NONMETROPOLITAN AREA,Southeast
ND NONMETROPOLITAN AREA,Plains
NE NONMETROPOLITAN AREA,Plains
"New Haven-Milford, CT MSA",New England
"New Orleans-Metairie-Kenner, LA MSA",Southeast
"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA",Mideast
NH NONMETROPOLITAN AREA,New England
"Niles-Benton Harbor, MI MSA",Great Lakes
NM NONMETROPOLITAN AREA,Southwest
"Norwich-New London, CT MSA",New England
NV NONMETROPOLITAN AREA,Far West
NY NONMETROPOLITAN AREA,Mideast
"Ocala, FL MSA",Southeast
"Ocean City, NJ MSA",Mideast
"Odessa, TX MSA",Southwest
"Ogden-Clearfield, UT MSA",Rocky Mountain
OH NONMETROPOLITAN AREA,Great Lakes
OK NONMETROPOLITAN AREA,Southwest
"Oklahoma City, OK MSA",Southwest
"Olympia, WA MSA",Far West
"Omaha-Council Bluffs, NE-IA MSA",Plains
OR NONMETROPOLITAN AREA,Far West
"Orlando-Kissimmee, FL MSA",Southeast
"Oshkosh-Neenah, WI MSA",Great Lakes
"Owensboro, KY MSA",Southeast
"Oxnard-Thousand Oaks-Ventura, CA MSA",Far West
PA NONMETROPOLITAN AREA,Mideast
"Palm Bay-Melbourne-Titusville, FL MSA",Southeast
"Palm Coast, FL MSA",Southeast
"Panama City-Lynn Haven, FL MSA",Southeast
"Parkersburg-Marietta-Vienna, WV-OH MSA",Great Lakes
"Parkersburg-Marietta-Vienna, WV-OH MSA",Southeast
"Pascagoula, MS MSA",Southeast
"Pensacola-Ferry Pass-Brent, FL MSA",Southeast
"Peoria, IL MSA",Great Lakes
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Mideast
"Phoenix-Mesa-Scottsdale, AZ MSA",Southwest
"Pine Bluff, AR MSA",Southeast
"Pittsburgh, PA MSA",Mideast
"Pittsfield, MA MSA",New England
"Pocatello, ID MSA",Rocky Mountain
"Port St. Lucie, FL MSA",Southeast
"Portland-South Portland-Biddeford, ME MSA",New England
"Portland-Vancouver-Beaverton, OR-WA MSA",Far West
"Poughkeepsie-Newburgh-Middletown, NY MSA",Mideast
"Prescott, AZ MSA",Southwest
"Providence-New Bedford-Fall River, RI-MA MSA",New England
"Provo-Orem, UT MSA",Rocky Mountain
"Pueblo, CO MSA",Rocky Mountain
"Punta Gorda, FL MSA",Southeast
"Racine, WI MSA",Great Lakes
"Raleigh-Cary, NC MSA",Southeast
"Rapid City, SD MSA",Plains
"Reading, PA MSA",Mideast
"Redding, CA MSA",Far West
"Reno-Sparks, NV MSA",Far West
"Richmond, VA MSA",Southeast
"Riverside-San Bernardino-Ontario, CA MSA",Far West
"Roanoke, VA MSA",Southeast
"Rochester, MN MSA",Plains
"Rochester, NY MSA",Mideast
"Rockford, IL MSA",Great Lakes
"Rocky Mount, NC MSA",Southeast
"Rome, GA MSA",Southeast
"Sacramento-Arden-Arcade-Roseville, CA MSA",Far West
"Saginaw-Saginaw Township North, MI MSA",Great Lakes
"Salem, OR MSA",Far West
"Salinas, CA MSA",Far West
"Salisbury, MD MSA",Mideast
"Salt Lake City, UT MSA",Rocky Mountain
"San Angelo, TX MSA",Southwest
"San Antonio, TX MSA",Southwest
"San Diego-Carlsbad-San Marcos, CA MSA",Far West
"San Francisco-Oakland-Fremont, CA MSA",Far West
"San Jose-Sunnyvale-Santa Clara, CA MSA",Far West
"San Luis Obispo-Paso Robles, CA MSA",Far West
"Sandusky, OH MSA",Great Lakes
"Santa Barbara-Santa Maria-Goleta, CA MSA",Far West
"Santa Cruz-Watsonville, CA MSA",Far West
"Santa Fe, NM MSA",Southwest
"Santa Rosa-Petaluma, CA MSA",Far West
"Sarasota-Bradenton-Venice, FL MSA",Southeast
"Savannah, GA MSA",Southeast
SC NONMETROPOLITAN AREA,Southeast
"Scranton--Wilkes-Barre, PA MSA",Mideast
SD NONMETROPOLITAN AREA,Plains
"Seattle-Tacoma-Bellevue, WA MSA",Far West
"Sebastian-Vero Beach, FL MSA",Southeast
"Sheboygan, WI MSA",Great Lakes
"Sherman-Denison, TX MSA",Southwest
"Shreveport-Bossier City, LA MSA",Southeast
"Sioux City, IA-NE-SD MSA",Plains
"Sioux Falls, SD MSA",Plains
"South Bend-Mishawaka, IN-MI MSA",Great Lakes
"Spartanburg, SC MSA",Southeast
"Spokane, WA MSA",Far West
"Springfield, IL MSA",Great Lakes
"Springfield, MA MSA",New England
"Springfield, MO MSA",Plains
"Springfield, OH MSA",Great Lakes
"St. Cloud, MN MSA",Plains
"St. George, UT MSA",Rocky Mountain
"St. Joseph, MO-KS MSA",Plains
"St. Louis, MO-IL MSA",Great Lakes
"St. Louis, MO-IL MSA",Plains
"State College, PA MSA",Mideast
"Stockton, CA MSA",Far West
"Sumter, SC MSA",Southeast
"Syracuse, NY MSA",Mideast
"Tallahassee, FL MSA",Southeast
"Tampa-St. Petersburg-Clearwater, FL",Southeast
"Terre Haute, IN MSA",Great Lakes
"Texarkana, TX-Texarkana, AR MSA",Southwest
"Texarkana, TX-Texarkana, AR MSA",Southeast
TN NONMETROPOLITAN AREA,Southeast
"Toledo, OH MSA",Great Lakes
"Topeka, KS MSA",Plains
"Trenton-Ewing, NJ MSA",Mideast
"Tucson, AZ MSA",Southwest
"Tulsa, OK MSA",Southwest
"Tuscaloosa, AL MSA",Southeast
TX NONMETROPOLITAN AREA,Southwest
"Tyler, TX MSA",Southwest
UT NONMETROPOLITAN AREA,Rocky Mountain
"Utica-Rome, NY MSA",Mideast
VA NONMETROPOLITAN AREA,Southeast
"Valdosta, GA MSA",Southeast
"Vallejo-Fairfield, CA MSA",Far West
"Victoria, TX MSA",Southwest
"Vineland-Millville-Bridgeton, NJ MSA",Mideast
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Southeast
"Visalia-Porterville, CA MSA",Far West
VT NONMETROPOLITAN AREA,New England
WA NONMETROPOLITAN AREA,Far West
"Waco, TX MSA",Southwest
"Warner Robins, GA MSA",Southeast
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",Mideast
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",Southeast
"Waterloo-Cedar Falls, IA MSA",Plains
"Wausau, WI MSA",Great Lakes
"Weirton-Steubenville, WV-OH MSA",Southeast
"Weirton-Steubenville, WV-OH MSA",Great Lakes
"Wenatchee, WA MSA",Far West
"Wheeling, WV-OH MSA",Southeast
"Wheeling, WV-OH MSA",Great Lakes
WI NONMETROPOLITAN AREA,Great Lakes
"Wichita Falls, TX MSA",Southwest
"Wichita, KS MSA",Plains
"Williamsport, PA MSA",Mideast
"Wilmington, NC MSA",Southeast
"Winchester, VA-WV MSA",Southeast
"Winston-Salem, NC MSA",Southeast
"Worcester, MA MSA",New England
WV NONMETROPOLITAN AREA,Southeast
WY NONMETROPOLITAN AREA,Rocky Mountain
"Yakima, WA MSA",Far West
"York-Hanover, PA MSA",Mideast
"Youngstown-Warren-Boardman, OH-PA MSA",Mideast
"Youngstown-Warren-Boardman, OH-PA MSA",Great Lakes
"Yuba City, CA MSA",Far West
"Yuma, AZ MSA",Southwest
