MSA,LAT,LON,Provider,Market Size,Number of Companies,Market Share,Defend $,Product,Exclusion,Included_In_Ranking,Provider_Ratio,Benchmark,Competitor_Ratio,Provider_Opportunity_Rank,Overall_Opportunity_Rank,Opportunity_Score,Opportunity_Category,Firm ID,Total_Weight,Number_of_Occurrences,Weighted_Average_Score
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,ADP Claims Solutions Group,331419363,2042,0.0,0,Credit_Cash_Management,True,False,,,,,,,,7.0,19.88,2.0,4.4079476861167
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Alerus Financial,331419363,2042,0.015,0,Credit_Cash_Management,True,False,,,,,,,,5337.0,11.77,1.0,5.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Alliance Bank of Arizona,331419363,2042,0.014,173733,Credit_Cash_Management,False,True,0.037443497,0.071946146,0.520437847,6.0,533.0,1.921459029,Fair,5855.0,19.88,2.0,5.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Ally Bank (formerly GMAC),331419363,2042,0.002,0,Credit_Cash_Management,True,False,,,,,,,,5221.0,11.77,1.0,4.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,American Express,331419363,2042,0.005,146825,Credit_Cash_Management,True,False,,,,,,,,171.0,84.53,10.0,4.462202768247959
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,BMO,331419363,2042,0.057,7440586,Credit_Cash_Management,True,False,,,,,,,,303.0,77.87,11.0,3.753948889174264
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,BOK Financial,331419363,2042,0.01,274966,Credit_Cash_Management,False,True,0.082966184,0.071946146,1.15317066,7.0,571.0,0.867174335,Fair,430.0,30.9,3.0,4.666666666666666
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Bank of America,331419363,2042,0.038,7402008,Credit_Cash_Management,True,False,,,,,,,,4836.0,166.70000000000002,27.0,4.205158968206359
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Blackbaud,331419363,2042,0.0,0,Credit_Cash_Management,True,False,,,,,,,,6031.0,14.36,2.0,5.0
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,CIBC,331419363,2042,0.001,39833,Credit_Cash_Management,False,True,0.120189115,0.071946146,1.67054279,9.0,597.0,0.598607833,Poor,628.0,13.97,2.0,3.0
